,geo_id,Unnamed: 0,demographics.P_ENGLISH,demographics.P_NON_ENGLISH,demographics.P_AGE_LT5,demographics.P_AGE_LT18,demographics.P_AGE_GT17,demographics.P_AGE_GT64,demographics.P_HLI_OTHER_LI,demographics.P_LOWINC,demographics.PCT_MINORITY,demographics.P_EDU_LTHS,demographics.P_LIMITED_ENG_HH,demographics.P_EMP_STAT_UNEMPLOYED,demographics.P_DISABILITY,demographics.P_MALES,demographics.P_FEMALES,demographics.LIFEEXP,demographics.PER_CAP_INC,demographics.HSHOLDS,demographics.P_OWN_OCCUPIED,main.RAW_D_PEOPCOLOR,main.RAW_D_INCOME,main.RAW_D_UNDER5,main.RAW_D_OVER64,main.RAW_D_UNEMPLOYED,main.RAW_D_LIFEEXP,main.RAW_E_DIESEL,main.RAW_E_CANCER,main.RAW_E_TRAFFIC,main.RAW_E_O3,main.RAW_E_PM25,main.RAW_E_RSEI_AIR,main.stateAbbr,main.stateName,main.totalPop,main.NUM_AIRPOLL,main.NUM_BROWNFIELD,main.NUM_HOSPITAL,main.statLayerCount,main.statLayerZeroPopCount,main.weightLayerCount,main.distance,main.unit,main.areatype,main.statlevel,main.placename,extras.RAW_HI_LIFEEXPPCT,extras.RAW_HI_ASTHMA,extras.RAW_HI_DISABILITYPCT,extras.RAW_CG_NOHINCPCT,extras.RAW_CI_FLOOD,extras.RAW_CI_FLOOD30,extras.RAW_CI_FIRE,extras.RAW_CI_FIRE30
23,17031420300.0,23,74,26,4,11,89,6,0,51,63,7,4.0,17,9,48,52,0,16831,677,21,63%,51%,4%,6%,17%,,0.525,20.0,67.0,66.1,10.0,5500.0,IL,ILLINOIS,2552.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",,11.2,8.5%,8%,21%,21%,0%,0%
24,17031190800.0,24,19,81,10,24,76,10,0,40,93,28,17.0,6,13,48,52,82,22940,1909,41,93%,40%,10%,10%,6%,16%,0.575,30.0,180.0,65.8,9.97,9400.0,IL,ILLINOIS,6533.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",16%,9.3,11.4%,20%,25%,28%,0%,0%
25,17031220500.0,25,69,31,4,8,92,13,0,21,44,4,5.0,4,9,46,54,79,53316,1224,43,44%,21%,4%,13%,4%,19%,0.63,30.0,360.0,66.0,9.87,8500.0,IL,ILLINOIS,2512.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",19%,8.1,9%,5%,19%,19%,0%,0%
26,17031803901.0,26,73,27,6,17,83,24,0,18,24,8,11.0,4,12,52,48,80,51485,1987,77,24%,18%,6%,24%,4%,18%,0.391,20.0,570.0,65.2,9.56,8900.0,IL,ILLINOIS,3736.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Arlington Heights, IL",18%,8.3,11.1%,4%,7%,7%,0%,0%
27,17031811100.0,27,53,47,7,26,74,15,3,39,33,9,25.0,6,8,45,55,80,23497,2465,51,33%,39%,7%,15%,6%,18%,0.467,30.0,460.0,65.4,10.1,14000.0,IL,ILLINOIS,6964.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"River Grove, IL",18%,9.7,7.2%,6%,12%,14%,0%,0%
28,17031808500.0,28,57,43,6,25,75,18,0,12,34,9,7.0,6,11,52,48,86,42887,1479,95,34%,12%,6%,18%,6%,11%,0.548,20.0,400.0,66.3,9.42,4300.0,IL,ILLINOIS,4489.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Morton Grove, IL",11%,8.2,9.9%,4%,2%,2%,0%,0%
29,17031170300.0,29,42,58,3,20,80,18,0,15,41,14,16.0,2,12,51,49,81,35407,1836,70,41%,15%,3%,18%,2%,17%,0.459,30.0,260.0,65.6,9.98,9500.0,IL,ILLINOIS,5225.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",17%,8.7,11.7%,12%,8%,8%,0%,0%
30,17031829800.0,30,92,8,7,27,73,17,0,9,60,1,0.0,4,11,44,56,84,53354,2234,90,60%,9%,7%,17%,4%,14%,0.337,20.0,68.0,64.7,10.2,3700.0,IL,ILLINOIS,6131.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Flossmoor, IL",14%,9.3,10.1%,4%,11%,11%,0%,0%
31,17031520400.0,31,34,66,3,35,65,8,0,38,92,18,6.0,11,10,41,59,82,22137,1462,75,92%,38%,3%,8%,11%,16%,0.502,20.0,230.0,66.2,10.0,5700.0,IL,ILLINOIS,4805.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",16%,8.9,9.2%,11%,37%,39%,4%,83%
32,17031241000.0,32,65,35,2,11,89,11,0,31,63,12,10.0,4,7,45,55,71,50537,796,33,63%,31%,2%,11%,4%,27%,0.596,30.0,140.0,65.9,9.93,8600.0,IL,ILLINOIS,1837.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",27%,9.3,8%,12%,4%,4%,0%,0%
